Index,Institution,records,Share.of.133800.x,Long,Lat,Address
1,AARHUS UNIVERSITY,466,0.092,10,56,"AARHUS UNIVERSITY, Denmark"
2,ABDUS SALAM INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS,434,0.086,13.78,45.64861,"ABDUS SALAM INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS, Trieste, Italy"
3,ACADEMIA SINICA TAIWAN,810,0.16,121,24,ACADEMIA SINICA TAIWAN
4,AGH UNIVERSITY OF SCIENCE TECHNOLOGY,477,0.094,21.01178,52.22977,"AGH UNIVERSITY OF SCIENCE TECHNOLOGY, Warsaw"
5,AGRICULTURE AGRI FOOD CANADA,204,0.04,-113.64258,60.10867,AGRICULTURE AGRI FOOD CANADA
6,ALBERT EINSTEIN COLLEGE OF MEDICINE,313,0.062,-74.010241,40.702898,"ALBERT EINSTEIN COLLEGE OF MEDICINE, New York City, New York"
7,ALBERTA CHILDRENS HOSPITAL,297,0.059,-111.0585,53.9225,ALBERTA CHILDRENS HOSPITAL
8,ALIKHANOV INSTITUTE FOR THEORETICAL EXPERIMENTAL PHYSICS,717,0.142,37.5,55.75,"ALIKHANOV INSTITUTE FOR THEORETICAL EXPERIMENTAL PHYSICS, Moscow"
9,ANKARA UNIVERSITY,460,0.091,33.5064,39.8453,ANKARA UNIVERSITY
10,ARGONNE NATIONAL LABORATORY,792,0.157,-88.224721,41.516067,"ARGONNE NATIONAL LABORATORY, Lemont, IL "
11,ARISTOTLE UNIVERSITY OF THESSALONIKI,497,0.098,22.94389,40.64028,ARISTOTLE UNIVERSITY OF THESSALONIKI
12,AUSTRALIAN NATIONAL UNIVERSITY,271,0.054,149.12807,-35.28346,"AUSTRALIAN NATIONAL UNIVERSITY, Canberra, Australia"
13,AUTONOMOUS UNIVERSITY OF BARCELONA,809,0.16,2.15899,41.38879,AUTONOMOUS UNIVERSITY OF BARCELONA
14,AUTONOMOUS UNIVERSITY OF MADRID,556,0.11,-3.70256,40.4165,AUTONOMOUS UNIVERSITY OF MADRID
15,AZERBAIJAN ACAD SCI,433,0.086,-72.225,7.76694,AZERBAIJAN ACAD SCI
16,BAYLOR COLLEGE OF MEDICINE,708,0.14,-95.39568,29.70999,BAYLOR COLLEGE OF MEDICINE
17,BAYLOR UNIVERSITY,244,0.048,-97.11945,31.54489,BAYLOR UNIVERSITY
18,BC CANC AGCY,277,0.055,16.2299,40.3138,BC CANC AGCY
19,BC CHILDRENS HOSPITAL,394,0.078,16.2299,40.3138,BC CHILDRENS HOSPITAL
